drug_id,drug_name,treats,causes
DB00780,Phenelzine,bulimia,diaphoresis; pain; headache; precordial pain; dizziness; collapse; precordial pain; hypertension; hypotension; depression; irritability; agitation; hyperactivity; hypertension; hypotension; depression
DB00781,Polymyxin B Sulfate,,vomiting; diarrhea; diarrhea
DB00782,Propantheline,hyperhidrosis; enuresis; hyperhidrosis,
DB00783,Estradiol,burning; dyspareunia; dysuria; urgency; urinary urgency; dyspareunia; pruritus,nausea; vomiting
DB00784,Mefenamic acid,fever; pain; dysmenorrhea; dysmenorrhea; arthritis; fever; arthritis; osteoarthritis; rheumatoid arthritis,weakness; pain; headache; stomach pain; loss of consciousness; weakness; confusion; stomach pain; weakness; muscle weakness; weakness; weakness; confusion
DB00785,Cryptenamine,hypertension; hypertension,
DB00787,Aciclovir,herpes,lethargy
DB00788,Naproxen,pain; dysmenorrhea; dysmenorrhea; arthritis; arthritis; osteoarthritis; rheumatoid arthritis; gout,nausea; vomiting; heartburn; indigestion; indigestion; heartburn
DB00790,Perindopril,hypertension; hypertension; heart failure,fatigue; headache; dizziness; cough; hypotension; fatigue; fatigue; fatigue; cough; hypotension
DB00792,Tripelennamine,common cold,shaking; trembling; tic; clumsiness; shortness of breath; flushing; redness; redness; flushing
DB00794,Primidone,epilepsy,incoordination
DB00795,Sulfasalazine,arthritis; arthritis; rheumatoid arthritis,
DB00796,Candesartan cilexetil,hypertension; hypertension; coronary artery disease; heart failure,
DB00798,Gentamicin,,dizziness; vertigo; nausea; vomiting; frequency
DB00799,Tazarotene,psoriasis,fatigue; edema; discomfort; headache; edema; redness; nausea; dermatitis; redness; hair loss; fatigue; fatigue; fatigue; dermatitis
DB00800,Fenoldopam,pressure; hypertension; hypertension,hypotension; hypotension
DB00801,Halazepam,anxiety,
DB00802,Alfentanil,pain; anesthesia,rigidity; depression; depression
DB00803,Colistin,,lethargy; dizziness; paresthesia; paralysis; ataxia; confusion; nystagmus; apnea; ataxia; confusion
DB00804,Dicyclomine,pain; abdominal pain; abdominal pain; abdominal pain; irritable bowel syndrome,
DB00805,Minaprine,depression; depression,
DB00808,Indapamide,edema; fluid retention; hypertension; edema; hypertension; heart failure,weakness; weakness; nausea; vomiting; weakness; weakness; weakness
DB00809,Tropicamide,paralysis,photophobia; blurred vision
DB00810,Biperiden,,ataxia; confusion; disorientation; delirium; secretions; tachycardia; flushing; ataxia; flushing; dry skin; dry skin; tachycardia; anxiety; agitation; paranoia; confusion; disorientation; hyperactivity
DB00811,Ribavirin,hepatitis; cirrhosis; hepatitis,frequency; depression; irritability; insomnia; anemia; lymphoma; depression; hiv
DB00812,Phenylbutazone,backache,
DB00813,Fentanyl,pain,
DB00814,Meloxicam,arthritis; arthritis; osteoarthritis,
DB00815,Sodium lauryl sulfate,hiv; herpes,
DB00816,Orciprenaline,bronchospasm; asthma; bronchitis; emphysema; asthma,fatigue; malaise; headache; angina; dizziness; tremor; angina; hypertension; hypotension; nausea; tremor; fatigue; fatigue; fatigue; malaise; insomnia; hypertension; hypotension
DB00819,Acetazolamide,edema; edema; heart failure,
DB00820,Tadalafil,erectile dysfunction; erectile dysfunction,
DB00821,Carprofen,pain; joint pain; joint pain,dizziness; nystagmus
DB00822,Disulfiram,,hypotension; orthostatic hypotension; hypotension
DB00824,Enprofylline,asthma; neuropathy; asthma,
DB00825,Menthol,pain; sore throat; cough; sore throat; cough,
DB00826,Natamycin,conjunctivitis,
DB00827,Cinoxacin,,anorexia; distress; headache; dizziness; tingling; photophobia; tinnitus; nausea; vomiting; diarrhea; anorexia; anorexia; diarrhea; insomnia; anorexia
DB00828,Fosfomycin,cystitis,diarrhea; diarrhea
DB00829,Diazepam,anxiety; insomnia,pressure; confusion; confusion
DB00830,Phenmetrazine,,collapse; tachycardia; hypertension; tachycardia; hypertension
DB00831,Trifluoperazine,anxiety; agitation,fever; pressure; low blood pressure; difficulty swallowing; fever; agitation
DB00832,Phensuximide,epilepsy,
DB00833,Cefaclor,pneumonia,nausea; vomiting; diarrhea; diarrhea
DB00834,Mifepristone,diabetes; hypercortisolism,pain; cramping; abdominal pain; nausea; vomiting; abdominal pain; diarrhea; diarrhea; abdominal pain
DB00835,Brompheniramine,sneezing; runny nose; rhinitis; rhinitis; common cold,tiredness; weakness; weakness; irregular heartbeat; weakness; weakness; weakness
DB00836,Loperamide,diarrhea; diarrhea; inflammatory bowel disease,lethargy; nausea; constipation
DB00837,Progabide,epilepsy,
DB00839,Tolazamide,diabetes,seizure
DB00842,Oxazepam,anxiety,lethargy; confusion; confusion
DB00843,Donepezil,dementia; dementia,sweating; weakness; collapse; weakness; bradycardia; hypotension; nausea; vomiting; weakness; muscle weakness; sweating; bradycardia; weakness; weakness; depression; hypotension; depression
DB00844,Nalbuphine,pain,
DB00845,Clofazimine,erythema; erythema,
DB00847,Cysteamine,,tiredness; weakness; thirst; weakness; weakness; weakness; weakness
DB00849,Methylphenobarbital,epilepsy; anxiety,
DB00850,Perphenazine,nausea; vomiting,
DB00852,Pseudoephedrine,croup; nasal congestion; rhinitis; priapism; rhinitis,sweating; weakness; headache; dizziness; lightheadedness; trembling; weakness; palpitations; paleness; nausea; vomiting; painful urination; weakness; paleness; sweating; palpitations; weakness; weakness; insomnia
DB00854,Levorphanol,pain,dizziness; hypotension; nausea; emesis; rash; rash; depression; hypotension; depression
DB00856,Chlorphenesin,pain; facial pain; neuralgia; tic; neuralgia,nausea
DB00858,Drostanolone,,fluid retention
DB00859,Penicillamine,arthritis; arthritis; rheumatoid arthritis,
DB00860,Prednisolone,arthritis; purpura; purpura; arthritis; rheumatoid arthritis; anemia; thrombocytopenia,weight gain; fluid retention; weight gain; diabetes
DB00861,Diflunisal,pain; arthritis; arthritis; osteoarthritis; rheumatoid arthritis,sweating; disorientation; tinnitus; hyperventilation; tachycardia; nausea; vomiting; diarrhea; jaundice; rash; jaundice; sweating; tachycardia; jaundice; rash; diarrhea; disorientation
DB00862,Vardenafil,erectile dysfunction; erectile dysfunction,pain; muscle pain; muscle pain
DB00863,Ranitidine,reflux; dyspepsia; dyspepsia; peptic ulcer,vomiting
DB00864,Tacrolimus,dermatitis; dermatitis,confusion; blurred vision; hypertension; itching; confusion; insomnia; hypertension; diabetes
DB00865,Benzphetamine,,tremor; confusion; tachypnea; tremor; panic; confusion
DB00866,Alprenolol,angina; angina; arrhythmia; hypertension; arrhythmia; hypertension; arrhythmia,
DB00868,Benzonatate,anesthesia; cough; cough,
DB00869,Dorzolamide,pressure; hypertension; hypertension,headache; dizziness; shortness of breath; asthma; asthma
DB00870,Suprofen,,fever; chills; swelling; pain; throbbing; blurred vision; shortness of breath; wheezing; swelling; redness; nausea; vomiting; swelling; itching; redness; fever; wheezing
DB00871,Terbutaline,bronchospasm; bronchitis; emphysema,
DB00872,Conivaptan,hypothyroidism; adrenal insufficiency,thirst; hypotension; hypotension
DB00873,Loteprednol,rhinitis; rhinitis; conjunctivitis; herpes,burning; photophobia; itching
DB00874,Guaifenesin,phlegm; expectoration,
DB00875,Flupentixol,depression; depression; schizophrenia,
DB00876,Eprosartan,hypertension; hypertension; heart failure,
DB00879,Emtricitabine,hiv,
DB00880,Chlorothiazide,edema; hypertension; edema; hypertension; heart failure; cirrhosis,dehydration
DB00881,Quinapril,hypertension; hypertension; heart failure; diabetes,fatigue; pain; chest pain; dizziness; cough; dyspnea; chest pain; hypotension; nausea; vomiting; fatigue; fatigue; fatigue; dyspnea; cough; hypotension
DB00882,Clomifene,,pain; abdominal pain; nausea; vomiting; abdominal pain; abdominal pain
DB00883,Isosorbide Dinitrate,angina; angina; coronary artery disease,hypotension; hypotension
DB00884,Risedronate,,weakness; swelling; pain; pressure; headache; chest pain; abdominal pain; back pain; neck pain; muscle pain; nerve pain; sore throat; dizziness; vertigo; weakness; ringing in ears; runny nose; sore throat; chest pain; high blood pressure; swelling; nausea; gas; belching; abdominal pain; diarrhea; constipation; muscle pain; weakness; muscle weakness; back pain; neck pain; rash; swelling; itching; weakness; weakness; rash; diarrhea; abdominal pain; depression; anxiety; insomnia; bronchitis; pneumonia; urinary tract infection; depression
DB00885,Pemirolast,fever; itching; fever; conjunctivitis,
DB00886,Omapatrilat,hypertension; hypertension,dizziness; cough; hypotension; diarrhea; angioedema; angioedema; cough; diarrhea; hypotension
DB00887,Bumetanide,edema; edema; heart failure,lethargy; weakness; anorexia; dehydration; dizziness; collapse; weakness; confusion; vomiting; anorexia; weakness; weakness; weakness; anorexia; confusion; anorexia
DB00888,Mechlorethamine,leukemia,dermatitis; pruritus; dermatitis; anemia; thrombocytopenia
DB00889,Granisetron,nausea; vomiting,
DB00890,Dienestrol,,nausea; vomiting
DB00891,Sulfapyridine,dermatitis; dermatitis,
DB00892,Oxybuprocaine,pressure,
DB00893,Iron Dextran,,swelling; pressure; collapse; loss of consciousness; hypotension; low blood pressure; swelling; hives; swelling; hypotension
DB00895,Benzylpenicilloyl Polylysine,,swelling; fainting; bronchospasm; fainting; swelling; flushing; eruption; urticaria; swelling; pruritus; flushing; urticaria; urticaria; anaphylaxis
DB00897,Triazolam,insomnia,depression; depression
DB00898,Ethanol,pain; neuralgia; tic; neuralgia,nausea; vomiting; depression; depression
DB00899,Remifentanil,anesthesia,
DB00900,Didanosine,hiv,diarrhea; diarrhea; pancreatitis; neuropathy
DB00901,Bitolterol,asthma; asthma,
DB00902,Methdilazine,,shaking; trembling; tic; clumsiness; shortness of breath; flushing; redness; redness; flushing
DB00903,Etacrynic acid,edema; pressure; high blood pressure; edema; heart failure,
DB00904,Ondansetron,nausea; vomiting,pressure; fainting; blindness; low blood pressure; fainting; constipation
DB00905,Bimatoprost,pressure; hypertension; hypertension,
DB00906,Tiagabine,,lethargy; seizure; myoclonus; paralysis; ataxia; confusion; disorientation; vomiting; ataxia; depression; agitation; confusion; disorientation; depression
DB00907,Cocaine,anesthesia,hyperthermia; hypertension; agitation; hypertension
DB00909,Zonisamide,epilepsy,pressure; loss of consciousness; low blood pressure
DB00912,Repaglinide,diabetes,
DB00913,Anileridine,pain; anesthesia,perspiration; dizziness; itching; euphoria
DB00914,Phenformin,diabetes,
DB00915,Amantadine,influenza,hyperthermia; lethargy; edema; distress; seizure; tremor; confusion; disorientation; delirium; hallucination; respiratory distress; tachycardia; arrhythmia; hypertension; edema; tremor; tachycardia; arrhythmia; anxiety; hallucination; confusion; disorientation; insomnia; hypertension; arrhythmia
DB00916,Metronidazole,diarrhea; diarrhea,distress; dizziness; vertigo; nausea; neuropathy
DB00918,Almotriptan,headache; migraine; migraine,
DB00919,Spectinomycin,urethritis,
DB00920,Ketotifen,itching; conjunctivitis,rhinitis; rhinitis
DB00921,Buprenorphine,pain,hypotension; depression; hypotension; depression
DB00922,Levosimendan,heart failure,
DB00923,Ceforanide,,distress; nausea; vomiting; diarrhea; diarrhea
DB00924,Cyclobenzaprine,spasm; spasm; muscle spasm,low temperature; pressure; confusion; low blood pressure; vomiting; stiffness; agitation; confusion; heart failure
DB00925,Phenoxybenzamine,hypertension; hypertension,lethargy; dizziness; fainting; tachycardia; hypotension; postural hypotension; fainting; vomiting; tachycardia; hypotension
DB00926,Etretinate,psoriasis,headache; vertigo
DB00927,Famotidine,reflux; peptic ulcer,collapse; tachycardia; hypotension; pallor; redness; emesis; redness; pallor; tachycardia; pallor; hypotension
DB00928,Azacitidine,anemia; leukemia; thrombocytopenia,nausea; vomiting; diarrhea; diarrhea
DB00930,Colesevelam,,abdominal cramps; nausea; vomiting; abdominal cramps; diarrhea; constipation; diarrhea
DB00931,Methacycline,bronchitis,
DB00932,Tipranavir,hiv,fatigue; weight loss; thirst; increased urination; weight loss; hunger; fatigue; fatigue; fatigue; weight loss
DB00933,Mesoridazine,schizophrenia,emesis
DB00934,Maprotiline,depression; depression,vertigo; tremor; twitching; ataxia; tachycardia; hypotension; cyanosis; vomiting; rigidity; ataxia; cyanosis; tremor; tachycardia; cyanosis; depression; hypotension; depression
DB00935,Oxymetazoline,nasal congestion; redness; redness,
DB00936,Salicylic acid,psoriasis,
DB00937,Diethylpropion,,tremor; confusion; tremor; panic; confusion
DB00938,Salmeterol,asthma; asthma,fatigue; pain; pressure; headache; chest pain; angina; dizziness; tremor; chest pain; angina; rapid heartbeat; low blood pressure; nausea; tremor; fatigue; fatigue; fatigue; insomnia
DB00939,Meclofenamic acid,pain; dysmenorrhea; dysmenorrhea; arthritis; arthritis; osteoarthritis; rheumatoid arthritis,oliguria; anuria; agitation
DB00940,Methantheline,gastritis; peptic ulcer; irritable bowel syndrome; pancreatitis,fever; tiredness; weakness; dizziness; weakness; clumsiness; confusion; blurred vision; flushing; weakness; muscle weakness; flushing; weakness; weakness; fever; irritability; confusion
DB00943,Zalcitabine,hiv,fever; rash; fever; rash
DB00944,Demecarium,,sweating; abdominal cramps; bradycardia; nausea; vomiting; abdominal cramps; diarrhea; incontinence; sweating; bradycardia; diarrhea
DB00945,Acetylsalicylic acid,pain; angina; angina; arthritis; arthritis; osteoarthritis; rheumatoid arthritis,pyrexia; pain; abdominal pain; seizure; confusion; hallucination; tinnitus; hyperventilation; hypotension; abdominal pain; abdominal pain; hallucination; confusion; hypotension
DB00946,Phenprocoumon,atrial fibrillation,melena; hematuria; bruising; petechiae; petechiae; melena; hematuria
DB00948,Mezlocillin,,fever; chills; rash; fever; rash
DB00949,Felbamate,epilepsy; anemia,
DB00950,Fexofenadine,rhinitis; rhinitis,dizziness
DB00951,Isoniazid,tuberculosis,rash; rash; hepatitis; neuropathy; hepatitis
DB00952,Naratriptan,migraine; migraine,tiredness
DB00953,Rizatriptan,migraine; migraine,pressure; dizziness; fainting; high blood pressure; fainting; vomiting
DB00954,Dirithromycin,pharyngitis; bronchitis; pneumonia,distress; nausea; vomiting; diarrhea; diarrhea
DB00955,Netilmicin,,dizziness; vertigo; hearing loss; nausea; vomiting; frequency
DB00956,Hydrocodone,pain; cough; cough,dizziness; collapse; confusion; blurred vision; apnea; Cheyne-Stokes respiration; bradycardia; hypotension; cyanosis; cyanosis; bradycardia; cyanosis; depression; confusion; hypotension; depression
DB00959,Methylprednisolone,arthritis; arthritis; rheumatoid arthritis,
DB00960,Pindolol,edema; atrial fibrillation; hypertension; edema; hypertension,bronchospasm; bradycardia; hypotension; bradycardia; hypotension
DB00961,Mepivacaine,anesthesia,seizure
DB00962,Zaleplon,insomnia,weakness; pain; headache; abdominal pain; menstrual pain; eye pain; dizziness; tingling; weakness; amnesia; memory loss; nausea; abdominal pain; menstrual pain; weakness; weakness; weakness; abdominal pain; amnesia; memory loss
DB00964,Apraclonidine,pressure,hypothermia; lethargy; asthenia; seizure; apnea; bradycardia; hypertension; hypotension; pallor; vomiting; pallor; bradycardia; pallor; depression; irritability; hypertension; hypotension; depression
DB00965,Ethiodized oil,,dyspnea; dyspnea
DB00966,Telmisartan,hypertension; hypertension; heart failure; diabetes,dizziness; tachycardia; bradycardia; hypotension; tachycardia; bradycardia; hypotension
DB00967,Desloratadine,rhinitis; urticaria; hives; pruritus; urticaria; rhinitis; urticaria,
DB00968,Methyldopa,hypertension; hypertension,weakness; pressure; dizziness; weakness; low blood pressure; nausea; vomiting; bloating; gas; diarrhea; constipation; weakness; weakness; weakness; diarrhea
DB00969,Alosetron,diarrhea; diarrhea; irritable bowel syndrome,
DB00971,Selenium Sulfide,dermatitis; dandruff; dermatitis,
DB00972,Azelastine,rhinitis; itching; rhinitis; conjunctivitis,
DB00973,Ezetimibe,,arthralgia; dizziness; arthralgia; arthralgia
DB00974,Edetic Acid,,edema; edema
DB00975,Dipyridamole,angina; angina,hypotension; hypotension
DB00976,Telithromycin,bronchitis; pneumonia,pain; headache; abdominal pain; dizziness; nausea; vomiting; dyspepsia; flatulence; abdominal pain; diarrhea; loose stools; dyspepsia; diarrhea; abdominal pain
DB00977,Ethinyl Estradiol,menopause,nausea; vomiting
DB00978,Lomefloxacin,bronchitis; urinary tract infection,burning; rash; itching; rash; anxiety; agitation; neuropathy
DB00979,Cyclopentolate,,dizziness; tachycardia; tachycardia
DB00980,Ramelteon,insomnia,
DB00981,Physostigmine,,sweating; tiredness; weakness; pain; eye pain; weakness; blurred vision; shortness of breath; wheezing; irregular heartbeat; nausea; vomiting; diarrhea; weakness; muscle weakness; sweating; weakness; weakness; wheezing; diarrhea
DB00982,Isotretinoin,,dry skin; dry skin
DB00983,Formoterol,bronchospasm; asthma; asthma,headache; tremor; palpitations; tachycardia; nausea; vomiting; tremor; palpitations; tachycardia
DB00984,Nandrolone phenpropionate,angioedema; angioedema,
DB00985,Dimenhydrinate,vertigo; nausea,
DB00986,Glycopyrronium,anesthesia; secretions,blurred vision; diarrhea; constipation; diarrhea
DB00987,Cytarabine,leukemia,fever; malaise; pain; chest pain; myalgia; bone pain; chest pain; myalgia; bone pain; rash; fever; malaise; myalgia; rash; conjunctivitis
DB00988,Dopamine,,pain; abdominal pain; spasm; ataxia; confusion; hypotension; nausea; vomiting; abdominal pain; spasm; ataxia; abdominal pain; confusion; insomnia; hypotension
DB00989,Rivastigmine,dementia; dementia,
DB00991,Oxaprozin,swelling; pain; joint pain; swelling; joint pain; arthritis; stiffness; swelling; arthritis; osteoarthritis; rheumatoid arthritis,
DB00992,Methyl aminolevulinate,,pain; burning; burning sensation; erythema; erythema
DB00993,Azathioprine,arthritis; arthritis; rheumatoid arthritis,
DB00994,Neomycin,diarrhea; diarrhea,dizziness; vertigo; hearing loss; nausea; vomiting; frequency
DB00995,Auranofin,arthritis; arthritis; rheumatoid arthritis,abdominal cramps; vomiting; abdominal cramps; rash; hives; itching; rash
DB00996,Gabapentin,neuralgia; epilepsy; neuralgia,ataxia; ataxia
DB00997,Doxorubicin,leukemia; lymphoma,
DB00998,Frovatriptan,migraine; migraine,migraine; migraine
DB00999,Hydrochlorothiazide,edema; pressure; high blood pressure; edema,dehydration
DB01000,Cyclacillin,,nausea; vomiting; diarrhea; diarrhea
DB01001,Salbutamol,bronchospasm; asthma; bronchitis; asthma,
DB01002,Levobupivacaine,pain; anesthesia,depression; depression
DB01003,Cromoglicic acid,conjunctivitis; asthma; asthma,cough; wheezing; sneezing; nasal congestion; nausea; wheezing; cough
DB01004,Ganciclovir,pneumonia; immunodeficiency; aids,
DB01005,Hydroxyurea,anemia; leukemia,
DB01007,Tioconazole,,edema; burning; edema; erythema; urticaria; pruritus; erythema; urticaria; urticaria
DB01008,Busulfan,leukemia,fever; chills; fatigue; weakness; pain; joint pain; dizziness; collapse; loss of consciousness; weakness; confusion; cough; shortness of breath; nausea; vomiting; diarrhea; joint pain; weakness; bruising; fatigue; weakness; fatigue; weakness; fever; fatigue; cough; diarrhea; confusion
DB01009,Ketoprofen,pain; dysmenorrhea; dysmenorrhea; arthritis; arthritis; osteoarthritis; rheumatoid arthritis,pain; abdominal pain; nausea; vomiting; dyspepsia; flatulence; abdominal pain; diarrhea; constipation; dyspepsia; diarrhea; abdominal pain
DB01010,Edrophonium,,sweating; secretions; bradycardia; nausea; vomiting; diarrhea; sweating; bradycardia; diarrhea
DB01011,Metyrapone,,weakness; dehydration; pain; weakness; confusion; hypotension; nausea; vomiting; diarrhea; weakness; weakness; weakness; diarrhea; anxiety; confusion; hypotension
DB01015,Sulfamethoxazole,bronchitis,nausea; vomiting; diarrhea; jaundice; jaundice; jaundice; diarrhea; anemia; thrombocytopenia
DB01017,Minocycline,fever; fever,goiter
DB01018,Guanfacine,hypertension; attention deficit; hyperactivity; hypertension,lethargy; bradycardia; hypotension; bradycardia; hypotension
DB01020,Isosorbide Mononitrate,angina; angina; hypertension; hypertension; coronary artery disease,hypotension; hypotension
DB01021,Trichlormethiazide,hypertension; hypertension; heart failure,
DB01023,Felodipine,hypertension; hypertension,bradycardia; hypotension; bradycardia; hypotension
DB01024,Mycophenolic acid,,pain; abdominal pain; nausea; vomiting; dyspepsia; abdominal pain; diarrhea; dyspepsia; diarrhea; abdominal pain
DB01028,Methoxyflurane,anesthesia,anesthesia; depression; depression
DB01029,Irbesartan,hypertension; hypertension; heart failure; diabetes,tachycardia; bradycardia; hypotension; tachycardia; bradycardia; hypotension
DB01031,Ethinamate,insomnia,weakness; weakness; confusion; shortness of breath; weakness; weakness; weakness; confusion
DB01032,Probenecid,arthritis; arthritis; gout,
DB01033,Mercaptopurine,leukemia,anorexia; nausea; vomiting; diarrhea; anorexia; anorexia; diarrhea; anorexia
DB01034,Cerulenin,weight loss; weight loss; weight loss,edema; headache; edema; redness; erythema; nausea; vomiting; erythema; redness
DB01036,Tolterodine,frequency; urinary frequency; urgency; urge incontinence; incontinence,
DB01037,Selegiline,depression; depression,
DB01041,Thalidomide,erythema; erythema,
DB01042,Melphalan,,vomiting; diarrhea; diarrhea
DB01043,Memantine,dementia; dementia,fever; tiredness; pain; headache; dizziness; confusion; vomiting; increased libido; fever; anxiety; confusion; cystitis
DB01044,Gatifloxacin,bronchitis; pneumonia,
DB01045,Rifampicin,tuberculosis,nausea; vomiting
DB01046,Lubiprostone,constipation; irritable bowel syndrome,hyperhidrosis; asthenia; anorexia; pain; discomfort; headache; abdominal pain; dizziness; syncope; dyspnea; syncope; pallor; flushing; nausea; vomiting; retching; abdominal pain; diarrhea; watery stools; anorexia; flushing; pallor; hyperhidrosis; pallor; anorexia; dyspnea; diarrhea; abdominal pain; anorexia
DB01047,Fluocinonide,,burning; itching
DB01048,Abacavir,hiv,fatigue; malaise; headache; nausea; vomiting; fatigue; fatigue; fatigue; malaise; hiv
DB01049,Ergoloid mesylate,dementia; dementia,delirium; dyspnea; bradycardia; hypertension; hypotension; nausea; vomiting; bradycardia; dyspnea; hypertension; hypotension
DB01050,Ibuprofen,fever; pain; dysmenorrhea; dysmenorrhea; arthritis; fever; arthritis; osteoarthritis; rheumatoid arthritis; gout,lethargy; anorexia; edema; fluid retention; pain; headache; abdominal pain; dizziness; vertigo; loss of consciousness; tinnitus; dyspnea; apnea; hypertension; edema; peripheral edema; nausea; vomiting; heartburn; dyspepsia; bloating; flatulence; abdominal pain; diarrhea; constipation; dyspepsia; heartburn; anorexia; anorexia; dyspnea; diarrhea; abdominal pain; depression; insomnia; anorexia; hypertension; heart failure; peptic ulcer; depression
DB01053,Benzylpenicillin,pneumonia,
DB01054,Nitrendipine,hypertension; hypertension,
DB01056,Tocainide,tachycardia; ventricular tachycardia; tachycardia,
DB01057,Echothiophate,,pain; eye pain; blurred vision
DB01059,Norfloxacin,urinary tract infection,
DB01060,Amoxicillin,,pain; abdominal pain; nausea; vomiting; abdominal pain; diarrhea; hematuria; hematuria; diarrhea; abdominal pain
DB01064,Isoprenaline,heart block; asthma; bronchitis; asthma,
DB01065,Melatonin,headache; tumors; anxiety; insomnia; cluster headache; thrombocytopenia,headache; abdominal cramps; dizziness; tremor; confusion; hypotension; nausea; vomiting; abdominal cramps; frequency; tremor; anxiety; irritability; confusion; hypotension
DB01066,Cefditoren,pharyngitis; bronchitis; pneumonia,distress; nausea; vomiting; diarrhea; diarrhea
DB01067,Glipizide,diabetes,
DB01068,Clonazepam,panic,seizure; confusion; depression; confusion; depression
DB01069,Promethazine,nausea; vomiting,ataxia; hypotension; ataxia; depression; hypotension; depression
DB01071,Mequitazine,fever; rhinitis; urticaria; hives; fever; urticaria; rhinitis; urticaria,
DB01072,Atazanavir,hiv,
DB01073,Fludarabine,leukemia,
DB01074,Perhexiline,angina; angina,dizziness; nausea
DB01075,Diphenhydramine,vertigo; nausea; vomiting,
DB01076,Atorvastatin,angina; angina,asthenia; pain; abdominal pain; myalgia; nausea; abdominal pain; constipation; myalgia; myositis; myalgia; abdominal pain
DB01077,Etidronic acid,,paresthesia; vomiting
DB01078,Deslanoside,heart failure,tachycardia; heart block; ventricular tachycardia; tachycardia
DB01079,Tegaserod,constipation; irritable bowel syndrome,
DB01080,Vigabatrin,epilepsy,
DB01081,Diphenoxylate,diarrhea; diarrhea,rapid heartbeat; flushing; flushing; dry skin; dry skin
DB01082,Streptomycin,tuberculosis,fever; edema; dizziness; vertigo; paresthesia; hearing loss; edema; nausea; vomiting; frequency; rash; urticaria; fever; rash; urticaria; urticaria
DB01083,Orlistat,weight loss; weight loss; weight loss,
DB01084,Emedastine,conjunctivitis,malaise; malaise
DB01087,Primaquine,malaria,
DB01088,Iloprost,hypertension; hypertension,headache; hypotension; flushing; nausea; vomiting; diarrhea; flushing; diarrhea; hypotension
DB01089,Deserpidine,hypertension; hypertension,dizziness; flushing; flushing
DB01090,Pentolinium,hypotension; hypotension,
DB01092,Ouabain,atrial fibrillation; heart failure,
DB01093,Dimethyl sulfoxide,cystitis,
DB01095,Fluvastatin,,pain; abdominal pain; nausea; gas; abdominal pain; diarrhea; constipation; myositis; diarrhea; abdominal pain
DB01097,Leflunomide,arthritis; arthritis; rheumatoid arthritis,
DB01098,Rosuvastatin,,asthenia; pain; abdominal pain; myalgia; nausea; abdominal pain; constipation; myalgia; myositis; myalgia; abdominal pain
DB01102,Arbutamine,coronary artery disease,
DB01103,Quinacrine,,collapse; hypotension; hypotension
DB01104,Sertraline,premature ejaculation; panic; phobia,sweating; fatigue; dizziness; tremor; nausea; dyspepsia; diarrhea; loose stools; dyspepsia; alopecia; sweating; tremor; alopecia; decreased libido; fatigue; fatigue; fatigue; diarrhea; insomnia
DB01105,Sibutramine,,anorexia; headache; constipation; anorexia; anorexia; insomnia; anorexia
DB01106,Levocabastine,rhinitis; rhinitis; conjunctivitis,edema; cough; edema; nausea; cough
DB01107,Methyprylon,insomnia,
DB01108,Trilostane,,tiredness; vomiting; loss of appetite; rash; rash; depression; depression
DB01109,Heparin,angina; angina; atrial fibrillation,thrombocytopenia
DB01111,Colistimethate,,lethargy; dizziness; paresthesia; paralysis; ataxia; confusion; nystagmus; apnea; ataxia; confusion
DB01112,Cefuroxime,bronchitis,cough; nasal congestion; rash; rash; cough
DB01113,Papaverine,impotence,
DB01114,Chlorphenamine,fever; rhinitis; urticaria; fever; urticaria; rhinitis; asthma; urticaria; allergy; asthma; common cold,
DB01115,Nifedipine,angina; angina; hypertension; hypertension,weakness; pressure; dizziness; weakness; nausea; weakness; weakness; weakness
DB01116,Trimethaphan,pressure,
DB01117,Atovaquone,pneumonia,rash; rash
DB01118,Amiodarone,tachycardia; ventricular tachycardia; tachycardia,asthma; hepatitis; asthma; hepatitis
DB01120,Gliclazide,,sweating; headache; dizziness; sweating
DB01121,Phenacemide,epilepsy,
DB01122,Ambenonium,weakness; weakness; weakness; muscle weakness; weakness; weakness,weakness; pressure; trembling; twitching; paralysis; weakness; weakness; weakness; weakness; anxiety; panic
DB01124,Tolbutamide,diabetes,
DB01125,Anisindione,atrial fibrillation,patches
DB01129,Rabeprazole,reflux; peptic ulcer,
DB01131,Proguanil,malaria,
DB01132,Pioglitazone,diabetes,
DB01134,Desoxycorticosterone Pivalate,arthritis; arthritis; rheumatoid arthritis,polydipsia; edema; edema; polyuria; polyuria; polydipsia
DB01135,Doxacurium chloride,anesthesia,anesthesia
DB01136,Carvedilol,heart failure,
DB01137,Levofloxacin,conjunctivitis,swelling; dizziness; numbness; disorientation; swelling; nausea; swelling; disorientation
DB01138,Sulfinpyrazone,arthritis; arthritis; gout,pain; ataxia; nausea; vomiting; diarrhea; jaundice; ataxia; jaundice; jaundice; diarrhea; anemia
DB01140,Cefadroxil,,nausea; vomiting
DB01142,Doxepin,pain; urticaria; urticaria; depression; anxiety; urticaria; depression,delirium; blurred vision; tachycardia; hypertension; hypotension; postural hypotension; constipation; tachycardia; depression; anxiety; insomnia; hypertension; hypotension; heart failure; depression
DB01144,Diclofenamide,pressure,
DB01145,Sulfoxone,dermatitis; dermatitis,
DB01146,Diphenylpyraline,fever; rhinitis; fever; rhinitis,
DB01147,Cloxacillin,,fever; swelling; cough; wheezing; swelling; swelling; itching; fever; wheezing; cough
